honor:foggy:godly:gooey,XGXYX:XGYXG:GGXXG:GGGGG,Simulation
macaw:dopey:goofy:sooty,XXXXX:XGXXG:XGGXG:GGGGG,Simulation
lowly:abyss:vying:hyper:myrrh,XXXXY:XXYXX:XGXXX:YGXXY:GGGGG,Simulation
agony:slain:snare,YXXYX:GXGXY:GGGGG,Simulation
cinch:lurid:spilt:blimp,XYXXX:YXXYX:XYGYX:GGGGG,Simulation
unlit:fudge:mummy:pushy:hussy,YXXXX:XGXXX:XGXXG:XGGYG:GGGGG,Simulation
haunt:unify:queen:venue,XXYYX:YYXXX:XYYYY:GGGGG,Simulation
awash:leapt:rabid:gonad:nomad,YXXXX:XXYXX:XYXXG:XGYGG:GGGGG,Simulation
belle:truss:guppy:pudgy,XXXXX:XXYXX:YGYXG:GGGGG,Simulation
blank:nobly,YYXYX:GGGGG,Simulation
sling:pitch:tepid:tapir,XXYXX:YYYXX:GXGGX:GGGGG,Simulation
fetid:realm:peace,XGXXX:XGGXX:GGGGG,Simulation
brass:grind:price:prior:privy,XGXXX:XGGXX:GGGXX:GGGXX:GGGGG,Simulation
aroma:bowel:bison:bigot,XXYXX:GYXXX:GGXGX:GGGGG,Simulation
tempo:grimy:climb,XXYXX:XXGGX:GGGGG,Simulation
lurid:flirt:grill:krill,YXYYX:XYGYX:XGGGG:GGGGG,Simulation
clasp:olive:fleet,XGXXX:XGXXY:GGGGG,Simulation
ascot:chide:dunce:deuce,XXYXX:YXXYG:GYXGG:GGGGG,Simulation
virus:totem:tally:tangy:tacky,XXXXX:GXXXX:GGXXG:GGXXG:GGGGG,Simulation
stoic:sheer:sauna:skulk:skull,GXXXX:GXXXX:GXGXX:GGGGX:GGGGG,Simulation
beast:laden:payer:paper,XYYXX:XGXGX:GGXGG:GGGGG,Simulation
arena:sound:flint:glint,XXXGX:XXXGX:XGGGG:GGGGG,Simulation
women:rumba:sumac,XXGXX:XGGXY:GGGGG,Simulation
bravo:smell:fugue:hefty:thief,XXXXX:XXYXX:YXXXY:YYYYX:GGGGG,Simulation
video:circa:risky:right,XGXXX:XGYXX:GGXXX:GGGGG,Simulation
mushy:shame,YXYYX:GGGGG,Simulation
steer:nomad:clamp:llama,XXXXX:XXYYX:XGGGX:GGGGG,Simulation
haste:horny,GXXXX:GGGGG,Simulation
small:horde:deity:fiend:index,XXXXX:XXXYY:YYYXX:XYYYY:GGGGG,Simulation
mania:fatty:rally:sassy:savoy:savvy,XGXXX:XGXXG:XGXXG:GGXXG:GGGXG:GGGGG,Simulation
icily:churn:farce:recap,XYXXX:YXXYX:XYYYY:GGGGG,Simulation
jazzy:shade:alone:awoke,XYXXX:XXYXG:GXGXG:GGGGG,Simulation
bobby:shush:sumac:surge,XXXXX:GXYXX:GGXXX:GGGGG,Simulation
often:privy:quick:slick:click,XXXXX:XXGXX:XXGGG:XGGGG:GGGGG,Simulation
cloak:ninny:dryer:buyer,XXXXX:XXXXY:XXGGG:GGGGG,Simulation
vixen:parry:clash:scuba,XXXXX:XYXXX:YXYYX:GGGGG,Simulation
blind:elfin:plain:slain,XGYYX:XGXGG:XGGGG:GGGGG,Simulation
plump:focal:labor:salvo,XYXXX:XYXYY:YGXYX:GGGGG,Simulation
rally:afoot,XYXXX:GGGGG,Simulation
price:scale:chafe,XXXYG:XYGXG:GGGGG,Simulation
truth:straw:store:steer,YYXXX:GGYXX:GGXYY:GGGGG,Simulation
diary:plant:chasm:chafe,XXGXX:XXGXX:GGGXX:GGGGG,Simulation
trial:booze:pence,XXXXX:XXXXG:GGGGG,Simulation
drink:quasi:avail:plait:claim,XXYXX:XXGXY:XXGGY:XGGGX:GGGGG,Simulation
cycle:later:bleat:delta,XXXYY:YYYYX:XYYYY:GGGGG,Simulation
freak:leery:overt:stern,XYGXX:XXGGX:XXGGY:GGGGG,Simulation
forte:dummy:basic:blank,XXXXX:XXXXX:GYXXX:GGGGG,Simulation
limit:musky:amend:emcee:ember,XXYXX:YXXXX:XGYXX:GGXGX:GGGGG,Simulation
clove:quest:usher:serum:rebus,XXXXY:XYYYX:YYXYY:YGYGX:GGGGG,Simulation
rower:quake:these:siege:scene,XXXYX:XXXXG:XXGYG:GXGXG:GGGGG,Simulation
lumpy:sassy:stray:shady:snaky,XXXXG:GYXXG:GXXYG:GXGXG:GGGGG,Simulation
upset:whine:leafy:leery:leggy,XXXYX:XXXXY:GGXXG:GGXXG:GGGGG,Simulation
fruit:candy:among:enema,XXXXX:XYYXX:YYXYX:GGGGG,Simulation
steer:maize:denim,XXYXX:YXYXY:GGGGG,Simulation
stool:donor:hound:wound,XXYXX:YGYXX:XGGGG:GGGGG,Simulation
icing:ester:wryly:arrow,XXXXX:XXXXY:YGXXX:GGGGG,Simulation
delve:burly:imply,XXYXX:XXXGG:GGGGG,Simulation
slimy:egret:woken:pence:dunce,XXXXX:YXXXX:XXXYY:XXGGG:GGGGG,Simulation
relay:staid:scamp:smack,XXXYX:GXGXX:GYGYX:GGGGG,Simulation
usage:bushy:snuck:stunk,YYXXX:XYYXX:GYGXG:GGGGG,Simulation
frisk:rower:borne:gorge:horde,XYXXX:YGXYX:XGGXG:XGGXG:GGGGG,Simulation
harsh:unify:oddly:weedy,XXXXX:XXXXG:XYXXG:GGGGG,Simulation
wrong:knife:undid:snail:anvil,XXXYX:XGYXX:XGXGX:XGYGG:GGGGG,Simulation
forth:swift:unfit:befit,YXXYX:XXYYG:XXGGG:GGGGG,Simulation
spice:clone:cache:creme,XXXYG:GXXXG:GXXXG:GGGGG,Simulation
thong:sandy:pansy,XXXYX:YGGXG:GGGGG,Simulation
rover:asset:tweed,XXXGX:XXXGY:GGGGG,Simulation
canny:mince:munch,YXGXX:GXGGX:GGGGG,Simulation
fetid:crane:evoke:house:posse,XYXXX:XXXXG:XXYXG:XGXGG:GGGGG,Simulation
manic:guile:issue,XXXYX:XYYXG:GGGGG,Simulation
stole:share:shame,GXXXG:GGGXG:GGGGG,Simulation
lunch:crepe:carat:cargo,XXXYX:GYXXX:GGGXX:GGGGG,Simulation
relax:fluke:cycle:loose,XYYXX:XYXXG:XXXYG:GGGGG,Simulation
rider:lorry:actor:bravo:organ:groan,YXXXX:XYYXX:YXXYY:XGYXY:YGYGG:GGGGG,Simulation
folio:dried:daisy,XXXYX:GXGXX:GGGGG,Simulation
waver:goner:piper:filer:fixer:fiber,XXXGG:XXXGG:XGXGG:GGXGG:GGXGG:GGGGG,Simulation
merge:under:riser:wiser,XYYXX:XXXGG:XGGGG:GGGGG,Simulation
inter:latch:hutch,XXGXX:XXGGG:GGGGG,Simulation
vague:livid:ivory,YXXXX:XYYXX:GGGGG,Simulation
usage:ranch:natal:paint,XXYXX:XGYXX:YGYXX:GGGGG,Simulation
white:tripe:trice,XXGYG:GGGXG:GGGGG,Simulation
dimly:weird:staid:undid,YYXXX:XXYXG:XXXGG:GGGGG,Simulation
slide:plier:flier,XGGXY:XGGGG:GGGGG,Simulation
mucky:watch:cling:cello:color,XXYXX:XXXYX:GYXXX:GXGXY:GGGGG,Simulation
taper:dummy:golly:hilly:icily,XXXXX:XXXXG:XXXGG:XYXGG:GGGGG,Simulation
joker:doubt:tough:mouth,XGXXX:XGGXY:YGGXG:GGGGG,Simulation
blind:crook:stout:quote:quoth:quota,XXXXX:XXGXX:XYGYX:GGGGX:GGGGX:GGGGG,Simulation
shown:trunk:fling:penne:amend,XXXXY:XXXGX:XXXGX:XYXGX:GGGGG,Simulation
edify:golly:sassy:tawny,XXXXG:XXXXG:XGXXG:GGGGG,Simulation
tilde:apple:angle:ankle,XXYXG:GXXGG:GGXGG:GGGGG,Simulation
spout:lover:ombre,XXYXX:XYXYY:GGGGG,Simulation
fritz:remit:tiara,XYYYX:YXXYY:GGGGG,Simulation
udder:boozy:knoll:gloom:sloop:aloof,XXXXX:XYGXX:XXGYX:XGGGX:XGGGX:GGGGG,Simulation
lunge:macho:swoop:sorry,XXXXX:XXXXY:GXYXX:GGGGG,Simulation
